Record_type,Cluster_number,Size,Match_orientation,NU,NU,NU,NU,ASV_ID,OUT97_ID
S,0,125,*,*,*,*,*,0017403d00b909253775a83cb9df3818,*
S,1,125,*,*,*,*,*,0020616a11d9c7f0d5e2acf0198d4265,*
S,2,124,*,*,*,*,*,0037933431c19554df9a45e86c45778a,*
S,3,125,*,*,*,*,*,005711a6b93123cf81924f45ed9bd719,*
S,4,125,*,*,*,*,*,005a8200523fe642da77db477a6ca1fb,*
S,5,125,*,*,*,*,*,00804b6e5f04de12bea9e3b686b4201a,*
S,6,125,*,*,*,*,*,00a0824770ac864894f51a893f2d7a28,*
S,7,125,*,*,*,*,*,00a61b954e2233329d22d1ab551be08a,*
S,8,125,*,*,*,*,*,00ae0ad6f49c4a2a35a53b215ae0b902,*
S,9,93,*,*,*,*,*,00cc2c849c8e5878219a5ccd3494dbb0,*
S,10,125,*,*,*,*,*,00d4d61506a9dd287a878638565754d5,*
S,11,125,*,*,*,*,*,0112609f1b17db34d4f455130309526b,*
S,12,54,*,*,*,*,*,0141303a94bdca58d6b048c56773e504,*
S,13,125,*,*,*,*,*,0150324fa01dfaac5404c39c658439d4,*
S,14,125,*,*,*,*,*,01574e5286935f410c4f41ed8e92987b,*
S,15,125,*,*,*,*,*,0177488976b3b5e3d236c5ef2f6d3c8c,*
S,16,125,*,*,*,*,*,01955224fb6a90a09007cb1c79bd6ccb,*
S,17,39,*,*,*,*,*,0197ac93406437a651597c9864e1b653,*
S,18,109,*,*,*,*,*,01a5efba26752863d7250c50d7044be0,*
S,19,54,*,*,*,*,*,01f4dd244d4d5066618e76ea9446270e,*
S,20,125,*,*,*,*,*,020711c01daf795256ea05c39a63b4d3,*
S,21,75,*,*,*,*,*,025bd2b8793b3c266bf36502dc76ca4a,*
S,22,125,*,*,*,*,*,02d462c8b03c2b62d2f4e90c343127f3,*
S,23,65,*,*,*,*,*,02d8742360ddc18d13d2c1361402667e,*
S,24,53,*,*,*,*,*,02d9370d65e0861354374d1048074826,*
S,25,125,*,*,*,*,*,02e4f036e4cdd2efbdc94f178b82b773,*
S,26,125,*,*,*,*,*,02e9b2e367475376336ab3efeedb47a9,*
S,27,51,*,*,*,*,*,02f5abd8c90f2e2f66d95c60a7f76411,*
S,28,125,*,*,*,*,*,03116db466aad5af5980b55ab39c9c75,*
S,29,56,*,*,*,*,*,031b8724b4e930a5235b2982f1406e70,*
S,30,125,*,*,*,*,*,03262ffbb3335116b706c0d0b07278db,*
S,31,125,*,*,*,*,*,03347342dfeba0f2464f430d4442cbd6,*
S,32,125,*,*,*,*,*,037c3e395acf922734170142936e3856,*
S,33,125,*,*,*,*,*,038190c0c734f2995fe92e60171f48a6,*
S,34,49,*,*,*,*,*,038d8b9bbee28e7274ff6e75aadeed55,*
S,35,125,*,*,*,*,*,03cf8094868bdbee4aeb2794309728fb,*
S,36,125,*,*,*,*,*,03d445ec208058b3f82567f64a231930,*
S,37,51,*,*,*,*,*,04a615705995ffd499380a5f6859ca58,*
