"","Sample","Sample_or_Control"
"Cr1CT","Cr1CT","True Sample"
"CR1CT2","CR1CT2","True Sample"
"Cr1T","Cr1T","True Sample"
"Cr2CT","Cr2CT","True Sample"
"CR2CT2","CR2CT2","True Sample"
"Cr2T","Cr2T","True Sample"
"Cr3T","Cr3T","True Sample"
"Cr4T","Cr4T","True Sample"
"Cr5T","Cr5T","True Sample"
"CR5T2","CR5T2","True Sample"
"FN10S","FN10S","True Sample"
"FN10S2","FN10S2","True Sample"
"FN11S","FN11S","True Sample"
"FN11S2","FN11S2","True Sample"
"FN12S","FN12S","True Sample"
"FN12S2","FN12S2","True Sample"
"FN13S","FN13S","True Sample"
"FN13S2","FN13S2","True Sample"
"FN14S","FN14S","True Sample"
"FN14S2","FN14S2","True Sample"
"FN1C","FN1C","True Sample"
"FN1C2","FN1C2","True Sample"
"FN1S","FN1S","True Sample"
"FN1S2","FN1S2","True Sample"
"FN1T","FN1T","True Sample"
"FN1T2","FN1T2","True Sample"
"FN2C","FN2C","True Sample"
"FN2C2","FN2C2","True Sample"
"FN2S","FN2S","True Sample"
"FN2S2","FN2S2","True Sample"
"FN2T","FN2T","True Sample"
"FN2T2","FN2T2","True Sample"
"FN3C","FN3C","True Sample"
"FN3C2","FN3C2","True Sample"
"FN3S","FN3S","True Sample"
"FN3S2","FN3S2","True Sample"
"FN3T","FN3T","True Sample"
"FN3T2","FN3T2","True Sample"
"FN4C","FN4C","True Sample"
"FN4C2","FN4C2","True Sample"
"FN4S","FN4S","True Sample"
"FN4S2","FN4S2","True Sample"
"FN4T","FN4T","True Sample"
"FN4T2","FN4T2","True Sample"
"FN5S","FN5S","True Sample"
"FN5S2","FN5S2","True Sample"
"FN5T","FN5T","True Sample"
"FN5T2","FN5T2","True Sample"
"FN6S","FN6S","True Sample"
"FN6S2","FN6S2","True Sample"
"FN6T","FN6T","True Sample"
"FN6T2","FN6T2","True Sample"
"FN7S","FN7S","True Sample"
"FN7S2","FN7S2","True Sample"
"FN7T","FN7T","True Sample"
"FN7T2","FN7T2","True Sample"
"FN8S","FN8S","True Sample"
"FN8S2","FN8S2","True Sample"
"FN8T","FN8T","True Sample"
"FN8T2","FN8T2","True Sample"
"FN9S","FN9S","True Sample"
"FN9S2","FN9S2","True Sample"
